marca,modello,descrizione,immagine,prezzo
IKEA,BILLY Bookcase,Libreria modulare in truciolato impiallacciato con 5 ripiani regolabili. Dimensioni 80x28x202 cm. Estendibile con componenti aggiuntivi.,img/arredamento_1.png,69.99
Kartell,Louis Ghost Chair,Sedia trasparente in policarbonato stampato a iniezione. Design di Philippe Starck. Impilabile fino a 6 pezzi. Resistente ai raggi UV.,img/arredamento_2.png,299.0
Muuto,E27 Pendant Light,Lampada a sospensione in alluminio pressofuso con portalampada E27 a vista. Design minimalista danese. Cavo in tessuto 3 metri.,img/arredamento_3.png,129.0
Fritz Hansen,Series 7 Chair,Sedia iconica di Arne Jacobsen (1955) in compensato modellato con gambe in acciaio cromato. Rivestimento disponibile in 40 tessuti.,img/arredamento_4.png,689.0
Vitra,Eames Lounge Chair,Poltrona cult di Charles e Ray Eames (1956) in compensato di mogano e pelle naturale. Struttura in alluminio lucidato.,img/arredamento_5.png,4490.0
Flos,Arco Floor Lamp,Lampada da terra con base in marmo Carrara e braccio in acciaio inox satinato. Altezza 250 cm. Paralume in alluminio lucido. Archiuta 1962.,img/arredamento_6.png,2390.0
Menu,Plinth Side Table,Tavolino in marmo Kendzo con finitura levigata. Struttura monolitica a cubo. Dimensioni 35x35x35 cm. Design scandinavo contemporaneo.,img/arredamento_7.png,469.0
Hay,About A Chair AAC22,Sedia in polipropilene riciclabile con gambe in acciaio verniciato. Design Johan Verde Knudsen. 50 combinazioni di colori disponibili.,img/arredamento_8.png,249.0
String,Shelf System,Sistema scaffale modulare storico (1949) in acciaio verniciato e ripiani in faggio. Icona del design scandinavo. Combinazioni infinite.,img/arredamento_9.png,189.0
Cassina,LC2 Armchair,Poltrona disegnata da Le Corbusier (1928). Struttura in acciaio cromato con cuscini in pelle. Meccanismo di sospensione a molla.,img/arredamento_10.png,3200.0
&Tradition,Flowerpot VP3,Lampada da tavolo iconica (1969) con paralume in alluminio nei colori pop originali. Base in acciaio. Altezza 32 cm.,img/arredamento_11.png,189.0
Normann Copenhagen,Form Chair,Sedia in polipropilene morbido con gambe in frassino naturale. Design Simon Legald. Ultra-leggera. Impilabile.,img/arredamento_12.png,299.0
B&B Italia,Tufty-Too Sofa,Divano modulare con struttura in legno massiccio e imbottitura in schiuma. Rivestimento in tessuto o pelle. Design Patricia Urquiola.,img/arredamento_13.png,4800.0
Artemide,Tolomeo Tavolo,Lampada da tavolo con braccio orientabile in alluminio anodizzato. Paral­ume in alluminio. 3 snodi regolabili. Design Cimini & De Lucchi.,img/arredamento_14.png,219.0
Magis,Spun Chair,Sedia rotante in polietilene stampato a rotazione. Forma a bozzolo rovesciato. Design Thomas Heatherwick. Uso interno ed esterno.,img/arredamento_15.png,449.0
Cane-line,Twist Dining Chair,Sedia da giardino in alluminio verniciato con seduta in WeaveT (polietilene). Resistente UV e intemperie. Impilabile. Certificazione FSC.,img/arredamento_16.png,379.0
Carl Hansen,CH24 Wishbone Chair,Sedia in legno massiccio di Hans J. Wegner (1949). Seduta in corda di carta intrecciata a mano. Produzione artigianale danese.,img/arredamento_17.png,849.0
Foscarini,Twiggy Floor Lamp,Lampada da terra con struttura in fibra di vetro flessibile e diffusore ovale. Altezza regolabile. Dimmer integrato. Design Marc Sadler.,img/arredamento_18.png,989.0
Emeco,Navy Chair,Sedia in alluminio riciclato prodotta a mano con 77 fasi di lavorazione. Progettata per la Marina USA (1944). Durata garantita 150 anni.,img/arredamento_19.png,595.0
Ligne Roset,Togo Sofa,Divano in schiuma a bassa densità senza struttura interna rigida. Rivestimento in tessuto removibile. Design Michel Ducaroy 1973.,img/arredamento_20.png,2890.0
