marca,modello,descrizione,immagine,prezzo
Garmin,DriveSmart 76,Navigator GPS da 7 pollici con aggiornamenti mappe a vita Europa. Avvisi traffico in tempo reale. Comandi vocali. Bluetooth per vivavoce.,img/auto_moto_1.png,199.99
Thule,Motion XT XXL,Box da tetto aerodinamico 500L in ABS antifurto. Apertura bilaterale. Montaggio senza attrezzi. Compatibile con barre 62-110cm. Nero lucido.,img/auto_moto_2.png,699.0
Michelin,Pilot Sport 4S 245/35R19,Pneumatico sportivo ultra-high performance omologato per velocità W. Mescola E-Compound. Miglior aderenza bagnato della categoria.,img/auto_moto_3.png,289.0
Bosch,C7 Battery Charger,Caricabatterie intelligente 6/12/24V per tutte le tecnologie. Funzione recupero batterie solfatate. Diagnostica tramite app. Display LCD.,img/auto_moto_4.png,79.9
Meguiar's,Ultimate Compound,Abrasivo ad alta efficienza per eliminare graffi profondi e ossidazione. Tecnologia Micro-Abrasive senza silicone. Uso manuale e orbitale. 450g.,img/auto_moto_5.png,34.99
Dension,Gateway Lite BT,Interfaccia Bluetooth per integrare smartphone in impianti autoradio OEM BMW Mini. Streaming audio A2DP. Controllo da volante. Plug & Play.,img/auto_moto_6.png,149.0
Peltor,SportTac Electronic Earmuff,Cuffie elettroniche per shooting con attivazione del suono 820μs. SNR 26dB. Padiglioni slim per compatibilità casco. Batterie AA incluse.,img/auto_moto_7.png,199.0
Recaro,Expert M Harness,Sedile sportivo omologato FIA 8855-1999 in fibra di vetro. Peso 6.4kg. Compatibile con cinture 4 5 6 punti. Per pista e rally.,img/auto_moto_8.png,899.0
Brembo,Sport Pads HP2000,Pastiglie freno sportive per uso misto strada/pista. Temperatura operativa 0-650°C. Kit per asse anteriore. Compatibili con freni serie originale.,img/auto_moto_9.png,89.0
Nolan,N60-6 Helmet,Casco jet in policarbonato con visiera Pinlock 30 inclusa. Aerazione frontale e posteriore regolabile. Parasole interno. Omologazione ECE 22.06.,img/auto_moto_10.png,199.95
AGV,Pista GP RR Carbon,Casco integrale in fibra di carbonio trilaminare usato da Valentino Rossi. Aerodinamica da MotoGP. Ventilazione attiva. Omologazione ECE e SNELL.,img/auto_moto_11.png,1099.0
Bridgestone,Battlax Hypersport S22 120/70ZR17,Pneumatico moto sportivo anteriore con mescola composita. Profilo V-shape per agilità. Tecnologia Multi-Compound. OEM su Ducati.,img/auto_moto_12.png,149.0
Oxford,Alarm Disc Lock Midi,Lucchetto a disco con sirena 100dB e sensore di movimento. Corpo in acciaio temprato 14mm. Batteria inclusa. Cavo promemoria incluso.,img/auto_moto_13.png,69.95
Osram,LEDriving Full LED H7,Conversione LED H7 omologata CE. 6000K luce bianca fredda. 200% visibilità vs alogeno. Plug & Play con Controller CAN-bus. Kit coppia.,img/auto_moto_14.png,89.99
Mantello,Waterproof Telo Auto,Telo copri-auto impermeabile in tessuto Oxford 300D con fibbia elasticizzata. Strato interno anti-graffio. Per berlina fino a 480cm. Borsa inclusa.,img/auto_moto_15.png,49.0
Hella,Faro Supplementare LED FF75,Coppia di fendinebbia/spot LED da 75W con 7500 lumen. Fascio flood o spot selezionabile. IP67. Kit di fissaggio universale incluso.,img/auto_moto_16.png,199.0
Pirelli,P Zero PZ4 225/40R18,Pneumatico ultra-high performance per berlina sportiva. Mescola Racing Legacy. Asimmetrico per equilibrio asciutto/bagnato. DOT 2024.,img/auto_moto_17.png,179.0
K&N,High-Flow Air Filter BMW M3,Filtro aria sportivo lavabile e riutilizzabile in cotone pluristrato. +15% flusso d'aria. Dura per la vita del veicolo. Drop-in fit.,img/auto_moto_18.png,79.0
Ctek,MXS 5.0 Charger,Caricabatterie intelligente 12V 5A con 8 fasi di carica. Riconoscimento automatico tipo batteria AGM EFB e al piombo. Mantenimento stagionale.,img/auto_moto_19.png,89.0
Dainese,D-Air Racing Suit,Tuta da gara con airbag integrato D-Air Gen2. Si gonfia in 45ms. Protezioni CE Livello 2 su spalle gomiti e ginocchia. Materiale Microelastic.,img/auto_moto_20.png,1890.0
