marca,modello,descrizione,immagine,prezzo
Fender,Player Stratocaster,Chitarra elettrica Alder body con manico Maple C-Shape e tastiera Pau Ferro. 3 pickup Player Series Alnico V. Colori: Tidepool Polar White.,img/strumenti_musicali_1.png,849.0
Gibson,Les Paul Standard 50s,Chitarra elettrica con corpo Mahogany e top Maple. Pickup Humbucker 490R/498T. Manico Rounded C profile. Finitura Goldtop.,img/strumenti_musicali_2.png,2999.0
Yamaha,U1 Upright Piano,Pianoforte verticale 121cm con smorzatori in feltro naturale e meccanica Yamaha Advanced Scale. Compensata per stabilità. 88 tasti pesati.,img/strumenti_musicali_3.png,5200.0
Roland,TD-27KV2 V-Drums,Batteria elettronica con rullante mesh 14 pollici e pad piatti a tre zone. Modulo TD-27 con 1096 suoni. Acustica del rack in acciaio.,img/strumenti_musicali_4.png,3199.0
Shure,SM58 Microphone,Microfono dinamico cardioide per voce live. Lo standard dell'industria dal 1966. Risposta in frequenza ottimizzata 50-15000Hz. XLR.,img/strumenti_musicali_5.png,119.0
Martin,000-28 Acoustic Guitar,Chitarra acustica OM body in Sitka Spruce massello e East Indian Rosewood. Finitura gloss. Diapason 650mm. Made in USA. 14 tasti.,img/strumenti_musicali_6.png,2599.0
Moog,Grandmother Semi-Modular,Sintetizzatore analogico 32 tasti con arpeggiatore e sequencer nativi. Patchbay 41 punti. Filtro ladder Moog classico. Vintage Oscillator.,img/strumenti_musicali_7.png,1149.0
Korg,SV-2 Stage Vintage Piano,Pianoforte da palco con 88 tasti pesati RH3 e 36 suoni di piano vintage modellati. Stereo 256 voci polifonia. Effetti integrati professionali.,img/strumenti_musicali_8.png,2099.0
Fender,Precision Bass Player,Basso elettrico con corpo Alder e manico Maple Modern C. Pickup Split-Coil Player Series. Hardware cromato. Custodia inclusa.,img/strumenti_musicali_9.png,849.0
Zildjian,A Custom Cymbal Pack,Set di piatti in lega B20 con ride 20 pollici + crash 16 + hi-hat 14. Finitura Brilliant. Suono brillante con attacco pulito. Made in USA.,img/strumenti_musicali_10.png,699.0
Native Instruments,Komplete 14 Ultimate,Suite di oltre 130 strumenti e 18000 suoni inclusi Kontakt Massive Reaktor. Oltre 1TB di librerie. Licenza perpetua. Download.,img/strumenti_musicali_11.png,599.0
Rode,NT1 Signature Series,Microfono a condensatore con capsula da 1 pollice. Rumore di fondo 4dBA il più basso del settore. Schermo anti-pop e supporto shockmount inclusi.,img/strumenti_musicali_12.png,199.0
Steinberg,UR22C Audio Interface,Interfaccia audio USB-C 2 ingressi 2 uscite con preamp D-PRE classe A. Risoluzione 32bit 192kHz. Phantom Power 48V. Loopback per streaming.,img/strumenti_musicali_13.png,149.0
Boss,RC-5 Loop Station,Pedale looper con 99 memorie e sincronizzazione ritmo integrata. 13 ore di registrazione. Interfaccia USB. Funzioni overdub undo redo multiply.,img/strumenti_musicali_14.png,189.0
Pearl,Export Series 5-Piece,Batteria acustica con corpi in Poplar/Mahogany. Piatto hi-hat 14 e crash-ride 20 inclusi. Hardware cromato. Hardware anti-scratch. Drum key inclusa.,img/strumenti_musicali_15.png,799.0
Arturia,MiniLab MkIII,Controller MIDI 25 tasti mini con 8 pad retroilluminati e 9 encoder. Bundle software incluso Analog Lab V. Alimentato via USB. Ultra-portatile.,img/strumenti_musicali_16.png,99.0
TC Electronic,Hall of Fame 2 Reverb,Pedale reverb con tecnologia TonePrint via USB o app. 10 tipi di riverbero tra cui Spring Shimmer e Hall. Stereo I/O. True bypass.,img/strumenti_musicali_17.png,149.0
Audio-Technica,AT-LP140XP,Giradischi DJ a trasmissione diretta con braccio antiskating e pitch control ±10%. Cartuccia VM540ML in ellittica. Uscita RCA e USB.,img/strumenti_musicali_18.png,349.0
Focusrite,Scarlett 4i4 4th Gen,Interfaccia audio con 4 ingressi e 4 uscite. Preamp Air Mode con risoluzione 32bit 192kHz. Auto-gain e monitoraggio in tempo reale. USB-C.,img/strumenti_musicali_19.png,229.0
Hammond,B-3mk2 Organ,Organo elettronico con 61 tasti per manuale e 25 pedaliera. 9 drawbar per manuale. Emulazione valve preamp. Scanner Vibrato autentico.,img/strumenti_musicali_20.png,3999.0
