marca,modello,descrizione,immagine,prezzo
Antinori,Tignanello 2020,Supertuscan IGT Toscana. Blend Sangiovese Cabernet Sauvignon Cabernet Franc. Affinamento 18 mesi barrique. 14% vol. 750ml.,img/alimentari_1.png,79.0
Frantoio Muraglia,Fruttato Intenso EVO,Olio extravergine d'oliva Puglia IGP cultivar Coratina. Prima spremitura a freddo. Acidità <0.2%. Bottiglia in ceramica decorata 500ml.,img/alimentari_2.png,28.9
Negroni,Salame Felino IGP,Salame di suino con vino bianco e aglio. Stagionatura minima 30 giorni. Peso circa 400g. Presidio Slow Food. Produzione artigianale Parma.,img/alimentari_3.png,14.5
Acetaia Malpighi,Aceto Balsamico Tradizionale,Aceto Balsamico Tradizionale di Modena DOP affinato 12 anni. Estratto 100ml in bottiglietta Giugiaro. Consorzio certificato.,img/alimentari_4.png,49.0
Valrhona,Guanaja 70% Fèves,Cioccolato fondente in gocce professionali. Origine Caraibi blend esclusivo. Note fruttate e intense. 1kg. Usato dai migliori pastai mondiali.,img/alimentari_5.png,38.0
Grana Padano,DOP 24 mesi,Forma intera 8kg di Grana Padano DOP stagionato 24 mesi. Crosta marchiata a fuoco. Note di frutta secca e fieno. Spedito sotto vuoto.,img/alimentari_6.png,189.0
Agrimontana,Marmellata Fichi Neri,Marmellata di fichi neri selezionati con 65% di frutta. Senza pectina aggiunta. Vasetto 350g. Produzione piemontese artigianale.,img/alimentari_7.png,8.5
Lavazza,Barista Intenso Specialty,Miscela espresso specialty grade 87+ da origini selezionate. Tostatura artigianale media. 250g. Macinatura intera o macinato su richiesta.,img/alimentari_8.png,18.0
Rustichella d'Abruzzo,Spaghetti alla Chitarra,Pasta trafilata al bronzo in semola di grano duro Senatore Cappelli. Essiccazione lenta 48h a bassa temperatura. 500g.,img/alimentari_9.png,5.9
Lurisia,Acqua Frizzante Vetro,Acqua minerale oligominerale delle Alpi Marittime in bottiglia di vetro da 1L. Residuo fisso 29mg/L. Classificata tra le migliori d'Italia.,img/alimentari_10.png,3.5
Prosciutto di Parma,DOP 24 mesi Stagionato,Coscia di suino italiano con sale marino. Stagionatura 24 mesi. Peso circa 9kg. Marchio Parma certificato. Spedizione refrigerata.,img/alimentari_11.png,219.0
Peyrano,Cioccolatini Assortiti,Scatola di cioccolatini artigianali torinesi. 24 praline in cioccolato fondente latte e bianco con ripieni di gianduja tartufo e liquori. 300g.,img/alimentari_12.png,34.0
San Pellegrino,Sparkling Water 750ml,Acqua minerale naturale frizzante delle Prealpi Orobiche. Minerali equilibrati. Bottiglia in vetro 750ml. Ideale con pasti.,img/alimentari_13.png,2.8
Callipo,Tonno Pinna Gialla,Tonno pinna gialla in olio extravergine d'oliva. Pesca con lenza. Confezionato a mano in vaso di vetro 200g. Calabria dal 1913.,img/alimentari_14.png,12.9
Poderi Luigi Einaudi,Barolo Cannubi 2019,Barolo DOCG Cannubi in magnum 1.5L. Nebbiolo 100%. Affinamento 30 mesi botti grandi. Produttore storico di Dogliani.,img/alimentari_15.png,149.0
Fiasconaro,Panettone Siciliano,Panettone artigianale con canditi di agrumi siciliani e uvetta sultanina. Impasto a lievitazione naturale 48h. 1kg. Madonita certificato.,img/alimentari_16.png,34.9
Bottega,Prosecco Gold Brut,Prosecco DOC Treviso in bottiglia dorata. Glera 100%. Perlage fine e persistente. Note di pesca e mela verde. 11% vol. 750ml.,img/alimentari_17.png,24.9
Fattoria Maionchi,Olio Colline Lucchesi DOP,Olio extravergine Colline Lucchesi DOP blend Frantoio Leccino Moraiolo. Raccolta manuale. Affinamento in acciaio. Latta 750ml.,img/alimentari_18.png,22.0
Domori,Porcelana 100%,Tavoletta di cioccolato fondente 100% cacao Porcelana Venezuela. Cacao Nacional bianco rarissimo. 25g. Nessun zucchero aggiunto. Astucciato.,img/alimentari_19.png,12.0
Giusti,Crema di Balsamico,Crema di aceto balsamico di Modena IGP con 70% di aceto invecchiato. Consistenza densa. Ideale su carne formaggi e fragole. Flacone 250ml.,img/alimentari_20.png,11.5
