marca,modello,descrizione,immagine,prezzo
Apple,iPhone 15 Pro,Smartphone con chip A17 Pro e fotocamera da 48MP con zoom ottico 5x. Display Super Retina XDR da 6.1 pollici. Titanio spaziale.,img/elettronica_1.png,1299.0
Samsung,Galaxy S24 Ultra,Smartphone Android con S Pen integrata e zoom ottico 10x. Display Dynamic AMOLED 2X da 6.8 pollici. RAM 12GB.,img/elettronica_2.png,1379.0
Sony,WH-1000XM5,Cuffie over-ear con cancellazione del rumore leader di settore. Fino a 30 ore di autonomia. Audio Hi-Res certificato.,img/elettronica_3.png,349.0
Apple,MacBook Air M3,Laptop ultrasottile con chip Apple M3. Display Liquid Retina 13.6 pollici. Fino a 18 ore di batteria. Peso 1.24 kg.,img/elettronica_4.png,1499.0
Samsung,Galaxy Tab S9,Tablet Android premium con display AMOLED 11 pollici e S Pen inclusa. IP68 resistente all'acqua. Processore Snapdragon 8 Gen 2.,img/elettronica_5.png,899.0
Sony,PlayStation 5,Console di nuova generazione con SSD ultra-rapido e ray tracing hardware. Controller DualSense con feedback aptico avanzato.,img/elettronica_6.png,549.0
Apple,AirPods Pro 2,Auricolari true wireless con cancellazione attiva del rumore adattiva. Audio spaziale personalizzato. Resistenza all'acqua IPX4.,img/elettronica_7.png,279.0
Asus,ROG Zephyrus G14,Laptop gaming compatto con AMD Ryzen 9 e GPU RTX 4060. Display QHD 165Hz. Batteria 73Wh con ricarica rapida.,img/elettronica_8.png,1599.0
LG,OLED55C3,TV OLED 55 pollici con processore α9 Gen6 AI. Dolby Vision IQ e Dolby Atmos. Perfetto per gaming con 4 porte HDMI 2.1.,img/elettronica_9.png,1299.0
DJI,Mini 4 Pro,Drone compatto sotto i 249g con fotocamera 4K/60fps e HDR. Autonomia 34 minuti. Omnidirectional obstacle sensing.,img/elettronica_10.png,759.0
Logitech,MX Master 3S,Mouse wireless ergonomico con scroll MagSpeed elettromagnetico. Sensore 8000 DPI. Connessione multi-device fino a 3 PC.,img/elettronica_11.png,109.0
Apple,iPad Pro M4,Tablet professionale con chip M4 e display Ultra Retina XDR OLED. Compatibile con Apple Pencil Pro e Magic Keyboard.,img/elettronica_12.png,1219.0
Bose,QuietComfort 45,Cuffie wireless con cancellazione del rumore Aware Mode. Suono bilanciato e naturale. Autonomia 24 ore. Pieghevoli per viaggio.,img/elettronica_13.png,279.0
Samsung,Monitor Odyssey G7,Monitor gaming curvo 32 pollici QLED 4K 144Hz. HDR2000 con 2000 nit di picco. G-Sync e FreeSync Premium Pro.,img/elettronica_14.png,699.0
Xiaomi,14 Ultra,Smartphone con sistema fotografico Leica e sensore Sony da 1 pollice. Ricarica wireless 80W. Display LTPO AMOLED 6.73 pollici.,img/elettronica_15.png,1299.0
GoPro,HERO12 Black,Action camera 5.3K con stabilizzazione HyperSmooth 6.0. Impermeabile fino a 10m senza custodia. GPS integrato.,img/elettronica_16.png,399.0
Jabra,Evolve2 85,Cuffie professionali wireless con 8 microfoni per chiamate cristalline. ANC adattivo. Compatibili con Microsoft Teams e Google Meet.,img/elettronica_17.png,449.0
Anker,PowerStation 757,Centrale elettrica portatile da 1229Wh con ricarica rapida 1500W. 13 uscite tra AC USB e DC. Ricarica solare compatibile.,img/elettronica_18.png,999.0
Wacom,Intuos Pro L,Tavoletta grafica professionale Large con penna Pro Pen 3 senza batterie. 8192 livelli di pressione. Connettività Bluetooth.,img/elettronica_19.png,479.0
Elgato,4K Pro Mk.2,Scheda di acquisizione video interna PCIe 4K60 HDR10. Latenza ultra-bassa per streaming e registrazione simultanea. VRR support.,img/elettronica_20.png,249.0
