marca,modello,descrizione,immagine,prezzo
La Mer,Crème de la Mer 60ml,Crema viso idratante con Miracle Broth fermentato da alghe Kelp. Texture ricca. Anti-age e rigenerante. Per pelli secche e molto secche.,img/cosmetica_1.png,195.0
Chanel,N°5 Eau de Parfum 100ml,Il profumo più iconico del mondo. Aldeidi floreali su base di muschio e sandalo. Fragranza creata da Ernest Beaux nel 1921 per Coco Chanel.,img/cosmetica_2.png,159.0
Drunk Elephant,C-Firma Fresh Day Serum,Siero vitamina C con 15% L-ascorbico + ferulic acid + vitamina E. Schiarisce macchie e uniforma il tono. Packaging a doppio scomparto 75ml.,img/cosmetica_3.png,78.0
Olaplex,No.3 Hair Perfector,Trattamento a casa che ripara i legami del capello. Formula con bis-aminopropyl diglycol dimaleate. Per capelli colorati e danneggiati. 100ml.,img/cosmetica_4.png,30.0
Nars,Sheer Glow Foundation,Fondotinta leggero con finitura luminosa. SPF 20. Formula senza olio. 33 sfumature inclusive. Coprenza da leggera a media. 30ml.,img/cosmetica_5.png,55.0
Dyson,Airwrap Complete Long,Styling tool multifunzione con tecnologia Coanda. Barre calde fino a 150°C. 7 accessori inclusi. Per capelli lisci mossi e ricci. Astuccio.,img/cosmetica_6.png,549.0
Tatcha,The Water Cream,Crema-gel senz'olio con estratto di piante giapponesi. Riequilibra e rimpolpa la pelle. Formula oil-free perfetta per pelli miste. 50ml.,img/cosmetica_7.png,75.0
Tom Ford,Tobacco Vanille EDP 50ml,Eau de Parfum con accordo di tabacco speziato e vaniglia cremosa. Oriental Woody. Lunga durata 8-10 ore. Esclusivo Private Blend.,img/cosmetica_8.png,230.0
Paula's Choice,BHA Exfoliant 2%,Esfoliante leave-on con acido salicilico 2%. Riduce pori dilatati e comedoni. Texture liquida ultra-leggera. Per pelli acneiche e miste. 118ml.,img/cosmetica_9.png,34.0
Charlotte Tilbury,Pillow Talk Lipstick,Il rossetto più venduto del brand. Nude-pink universale in formula matte. Colore iconico ispirato a una serata di lusso. 3.5g.,img/cosmetica_10.png,36.0
Augustinus Bader,The Rich Cream 50ml,Crema anti-età con tecnologia TFC8 brevettata per attivazione delle cellule staminali cutanee. Clinicamente testata. Riduce rughe 27%.,img/cosmetica_11.png,265.0
Maison Margiela,Replica Beach Walk EDT 100ml,Eau de Toilette con accordo di bergamotto cocco e muschio balneare. Collezione Replica che cattura i ricordi olfattivi. 100ml.,img/cosmetica_12.png,145.0
The Ordinary,Multi-Peptide Serum,Siero con 11 peptidi ad azione anti-rughe e sostenimento cutaneo. Formula senza siliconi. Compatibile con vitamina C. 30ml.,img/cosmetica_13.png,14.8
Estée Lauder,Advanced Night Repair,Siero riparatore notte con tecnologia ChronoluxCB. Riduce danni da UV e inquinamento. Formula sincronizzata con il ritmo circadiano. 50ml.,img/cosmetica_14.png,99.0
Clinique,Black Honey Almost Lipstick,Rossetto sheer icona dal 1971 in formula nutriente. Colore nude-berry universale che si adatta al tono naturale delle labbra. 1.9g.,img/cosmetica_15.png,24.0
Moroccanoil,Treatment Original 100ml,Olio trattante arganio per capelli con anti-ossidanti e cheratina. Riduce i tempi di asciugatura. Protegge dal calore. Finish lucido.,img/cosmetica_16.png,39.0
Foreo,LUNA 4 Smart Facial Device,Dispositivo per pulizia viso con micro-pulsazioni T-sonic. 8 intensità. Silicone igienico non poroso. App connessa. Batteria 650 utilizzi.,img/cosmetica_17.png,219.0
Byredo,Bibliotheque EDP 50ml,Eau de Parfum con accordo di peonia viola legno di cedro e vaniglia. Fragranza intellettuale creata da Ben Gorham. Bottiglia quadrata iconica.,img/cosmetica_18.png,185.0
RéVive,Moisturizing Renewal Cream,Crema giorno con BioRenew EGF Factor per rinnovamento cellulare accelerato. SPF 30. Anti-rughe profonde. Texture ricca. 50ml.,img/cosmetica_19.png,225.0
Valentino,Donna Born In Roma EDP,Eau de Parfum femminile con Yliangyliang bergamotto e vanillia bourbon. Flaconatura in stile romano con texture grafite. 100ml.,img/cosmetica_20.png,130.0
