marca,modello,descrizione,immagine,prezzo
Shimano,Deore XT M8100,Gruppo MTB 12v con cambio posteriore Shadow Plus e freni idraulici. Cassetta 10-51T. Peso totale gruppo completo 1.850g.,img/sport_1.png,489.0
Garmin,Fenix 7X Solar,Smartwatch multisport con ricarica solare. GPS multibanda. Mappe topografiche offline. Autonomia fino a 37 giorni in modalità smartwatch.,img/sport_2.png,749.0
Salomon,Speedcross 6,Scarpa trail running con suola Contagrip MA e lugs profondi 6mm. Drop 10mm. Protezione ToeCap. Allacciatura Quicklace brevettata.,img/sport_3.png,149.95
Black Diamond,Camelot C4 Set,Set di 6 friends da arrampicata in alluminio 7075-T6. Trigger a doppia barra. Range 0.5/0.75/1/2/3/4. Cordino Dyneema da 60cm.,img/sport_4.png,349.0
Osprey,Atmos AG 65,Zaino trekking 65L con sistema Anti-Gravity Trampoline. Schienale aerato a tensione. Fit IsoForm hipbelt. Peso 2.2 kg. Raincover inclusa.,img/sport_5.png,299.95
Trek,Domane AL 3,Bicicletta endurance in alluminio con carbon fork. Shimano Sora 2x9. Geometria IsoSpeed per comfort su lunghe distanze. Taglie 47-62.,img/sport_6.png,1299.0
Mammut,Eiger Free Pro HS Jacket,Giacca alpinismo in Gore-Tex Pro 3L con tasche sul petto accessibili con imbragatura. Cappuccio compatibile con casco.,img/sport_7.png,549.0
Suunto,Vertical,Orologio outdoor ultraleggero (79g) con altimetro barometrico e navigazione avanzata. Mappa in tempo reale. Durata batteria 60 ore GPS.,img/sport_8.png,599.0
Petzl,Grigri+,Assicuratore con blocco assistito ad anti-panic per arrampicata in falesia. Compatibile con corde 8.5-11mm. Frizione regolabile.,img/sport_9.png,109.0
Thule,Crossover 2 30L,Zaino urban/outdoor in tessuto impermeabile saldato con cerniere YKK. Vano laptop 15 pollici imbottito. Certificazione TSA.,img/sport_10.png,169.95
Atomic,Redster Q9i Revoshock,Sci da slalom gigante con scocca Carbon Backbone e sistema Revoshock C per controllo torsionale. Raggio 30m. Misure 170-183cm.,img/sport_11.png,699.0
Hydro Flask,32 oz Wide Mouth,Borraccia in acciaio inox 18/8 con isolamento TempShield a doppia parete. Mantiene i liquidi freddi 24h e caldi 12h. BPA-free.,img/sport_12.png,54.95
GripFactory,TacGrip Set,Set di grip in silicone per padel con superficie microperforata per massima presa. Spessore 2mm. Conf. da 3 pezzi.,img/sport_13.png,24.9
Patagonia,Torrentshell 3L,Giacca impermeabile in GORE-TEX C-Knit da 3 strati. Costruzione minimale senza baffle. Produzione Fair Trade. Imballo integrato.,img/sport_14.png,229.0
Fitbit,Charge 6,Fitness tracker avanzato con ECG SpO2 GPS integrato. Monitoraggio frequenza cardiaca 24/7. Google Maps e Google Wallet. Batteria 7 giorni.,img/sport_15.png,159.95
MSR,Hubba Hubba 2,Tenda da trekking 2 persone in nylon 20D con trattamento DWR. Peso 1.18 kg. Doppio vestibolo. Montaggio rapido freestanding.,img/sport_16.png,499.0
Polar,Vantage V3,Sportwatch premium con sensore ottico HR di precisione e route tracking con frecce di navigazione. Altimetro barometrico. 10 ATM.,img/sport_17.png,499.0
Norrona,Trollveggen Flex1 Pants,Pantaloni per scialpinismo in Gore-Tex Paclite Plus. Stretch 4 direzioni. Compatibili con ramponi. Ghette integrate. Tasca neve.,img/sport_18.png,449.0
Edelrid,Swift Pro Dry 8.9mm,Corda da arrampicata 60m certificata UIAA con trattamento Dry idrorepellente. Bicolor center mark. Peso 52g/m. Indice di caduta 9.,img/sport_19.png,199.0
Wahoo,Kickr Core,Rullo smart per bici indoor con resistenza magnetica fino a 1800W. Simulazione pendenza ±16%. Cadenza integrata. Compatible ERG mode.,img/sport_20.png,799.0
