marca,modello,descrizione,immagine,prezzo
Einaudi,Il nome della rosa,Umberto Eco. Romanzo storico ambientato in un'abbazia medievale. Un frate francescano indaga su misteriose morti. 502 pagine. Prima ed. 1980.,img/libreria_1.png,14.0
Adelphi,Se questo è un uomo,Primo Levi. Testimonianza della deportazione ad Auschwitz. Capolavoro della letteratura del Novecento. 222 pagine. Edizione definitiva.,img/libreria_2.png,13.0
Feltrinelli,Cent'anni di solitudine,Gabriel García Márquez. Il romanzo fondativo del realismo magico. La saga dei Buendía a Macondo. 448 pagine. Traduzione di Enrico Cicogna.,img/libreria_3.png,14.0
Mondadori,Crime and Punishment,Fëdor Dostoevskij. Il capolavoro psicologico russo sulla colpa e redenzione. 620 pagine. Nuova traduzione di Claudia Zonghetti.,img/libreria_4.png,16.0
Minimum Fax,Normal People,Sally Rooney. Storia di due giovani irlandesi tra amore e amicizia. Bestseller internazionale. 304 pagine. Traduzione di Antonella Francini.,img/libreria_5.png,17.0
Bompiani,L'Odissea,Omero. Versione integrale con testo greco a fronte. Traduzione e commento di Maria Grazia Ciani. Introduzione di Giulio Guidorizzi. 720 pagine.,img/libreria_6.png,28.0
Einaudi,La coscienza di Zeno,Italo Svevo. Il romanzo modernista triestino narrato come memoriale. Edizione con saggio critico di Silvio Benco. 420 pagine.,img/libreria_7.png,13.0
Sellerio,La forma dell'acqua,Andrea Camilleri. Il primo romanzo del commissario Montalbano. Sicilia anni '90 tra ironia e noir. 212 pagine. Prima edizione 1994.,img/libreria_8.png,13.0
Gallimard,Les Misérables (fr),Victor Hugo. Edizione tascabile originale in francese. La grande saga dell'umanità nella Francia post-napoleonica. 1900 pagine.,img/libreria_9.png,18.0
Penguin Classics,Hamlet,William Shakespeare. Edizione critica con introduzione e note di T.J.B. Spencer. Testo inglese originale con varianti. 160 pagine.,img/libreria_10.png,10.0
Rizzoli,Sapiens,Yuval Noah Harari. Breve storia dell'umanità dal Paleolitico al XXI secolo. 494 pagine. Il saggio più letto del decennio. Traduzione di Ugo Livio.,img/libreria_11.png,19.0
Adelphi,Siddhartha,Hermann Hesse. Il romanzo della ricerca spirituale ambientato nell'India antica. 152 pagine. Traduzione di Massimo Mila. Copertina illustrata.,img/libreria_12.png,12.0
Sony,PlayStation 5 Astro Bot,Videogioco platform esclusivo PS5 con livelli ispirati alla storia PlayStation. Migliore gioco 2024 ai The Game Awards. Versione fisica.,img/libreria_13.png,59.99
Nintendo,The Legend of Zelda Tears of the Kingdom,Il sequel di Breath of the Wild con mechanic ultrahand e fuse rivoluzionarie. Oltre 100 ore di contenuti. Nintendo Switch.,img/libreria_14.png,59.99
Criterion,2001 A Space Odyssey Blu-ray,Edizione Criterion del capolavoro di Stanley Kubrick. Restauro 4K supervisionato da Christopher Nolan. Booklet 60 pagine. Extras esaustivi.,img/libreria_15.png,39.99
Vinyl Me Please,Fleetwood Mac Rumours LP,Ristampa audiofila del classico 1977 su vinile 180g pressing. Cut da nastro originale. Sleave replica. Gatefold con foto inedite.,img/libreria_16.png,34.99
Taschen,Stanley Kubrick's Napoleon,Il libro del film mai girato. 1000 pagine di ricerca visiva. Edizione XL con mappe di battaglia e corrispondenza originale. Stampa su carta premium.,img/libreria_17.png,150.0
Phaidon,The Silver Spoon,Il più autorevole ricettario della cucina italiana tradizionale. 2000 ricette. Edizione italiana aggiornata. 1264 pagine con illustrazioni.,img/libreria_18.png,49.95
Istituto Enciclopedico,Grande Atlante del Mondo,Atlante geografico fisico e politico con mappe in scala 1:5.000.000. 396 pagine. Dati demografici aggiornati 2024. Formato 34x47 cm.,img/libreria_19.png,89.0
Rizzoli,Gödel Escher Bach,Douglas Hofstadter. Saggio su intelligenza coscienza e musica attraverso dialoghi e teoremi. 780 pagine. Premio Pulitzer 1980.,img/libreria_20.png,28.0
