marca,modello,descrizione,immagine,prezzo
Rolex,Submariner Date,Orologio da immersione ref. 126610LN in acciaio Oystersteel. Cassa 41mm. Quadrante nero. Corona Triplock. Impermeabile 300m. Movimento Cal. 3235.,img/gioielleria_1.png,9350.0
Cartier,Love Bracelet,Bracciale iconico in oro giallo 18kt con chiusura a vite. Larghezza 6.1mm. Design Bernard Perrin 1969. Fornito con cacciavite originale.,img/gioielleria_2.png,6700.0
Tiffany & Co.,Round Brilliant Ring,Solitario in platino 950 con diamante taglio brillante 0.50ct. Montatura Tiffany Setting a sei griffe creata nel 1886. Certificato GIA.,img/gioielleria_3.png,4800.0
Pomellato,Nudo Rose Quartz,Anello con rosetta di quarzo rosa taglio ovale 15x12mm. Montatura in oro rosa 18kt. Collezione iconica milanese. Misure su richiesta.,img/gioielleria_4.png,1350.0
Bulgari,B.zero1 Ring,Anello a spirale in oro bianco 18kt con bordo in ceramica nera. Design architettonico ispirato al Colosseo. Larghezza 12mm.,img/gioielleria_5.png,2150.0
Pandora,Moments Bracelet + 5 Charms,Bracciale Moments in argento sterling con 5 charm a tema natura. Chiusura a barretta. Compatibile con tutta la collezione charms Pandora.,img/gioielleria_6.png,289.0
Georg Jensen,Fusion Ring,Anello in argento sterling e oro 18kt. Design a fusione di due metalli. Linee organiche nordiche. Disponibile in 12 misure. Confection box.,img/gioielleria_7.png,289.0
Mikimoto,Akoya Pearl Necklace,Collana di perle Akoya con chiave oro bianco 18kt. Diametro perle 7.5-8mm. Brillantezza AAA. Lunghezza 45cm. Astuccio originale.,img/gioielleria_8.png,2800.0
Messika,Move Uno Bracelet,Bracciale in oro bianco 18kt con tre diamanti mobili incastonati a pavé. 0.25ct totali. Sistema brevettato Move. Taglia S/M/L.,img/gioielleria_9.png,3200.0
Daniel Wellington,Classic Sheffield 40mm,Orologio con cassa in acciaio oro 40mm. Quadrante avorio con indici in oro. Cinturino in pelle Nappa marrone. Vetro zaffiro minerale.,img/gioielleria_10.png,169.0
APM Monaco,Meteorites Necklace,Collana in argento sterling placcato oro 18kt con ciondolo a forma di meteorite con zirconi. Lunghezza 40+5cm. Chiusura lobster.,img/gioielleria_11.png,195.0
Chanel,Coco Crush Ring,Anello quilting in oro beige 18kt. Modello small. Superficie capitonné ispirata alle borse Chanel. Spessore 4mm. Box originale.,img/gioielleria_12.png,1780.0
Ginette NY,Thin Sequin Ring,Anello sottile in oro giallo 18kt con un singolo diamante piqué nero 0.04ct. Impilabile. Peso 0.9g. Made in France.,img/gioielleria_13.png,490.0
Ti Sento,Pearl Drop Earrings,Orecchini in argento sterling placcato oro rosa con perle Mabe sintetiche 8mm. Chiusura a monachella. Lunghezza 3.5cm.,img/gioielleria_14.png,89.0
Hermès,Clic H Bracelet,Bracciale in resina nera e metallo plaqué oro con logo H. Larghezza 21mm. Chiusura flip. Taglia S/M/L. Icona della maison parigina.,img/gioielleria_15.png,690.0
Tous,Bear Ring,Anello con orsetto in argento sterling pavé di zirconi bianchi. Misura 12 pietre. Simbolo iconico del brand barcellonese. Misure EU 48-60.,img/gioielleria_16.png,159.0
Comete,Gocce Earrings,Orecchini a goccia in oro giallo 18kt con diamanti taglio brillante 0.12ct e ametiste pear 1.80ct. Lunghezza 4cm. Produzione artigianale italiana.,img/gioielleria_17.png,890.0
Swarovski,Constella Necklace,Collana in metallo placcato rodio con cristalli Swarovski in pavé. Pendente stella 40mm. Catena regolabile 38-50cm. Crystal AB finish.,img/gioielleria_18.png,149.0
Salvini,Battito Bracelet,Bracciale in oro bianco 18kt con diamanti brown taglio brillante 0.36ct totali. Lunghezza 18cm+2cm regolabile. Design moderno italiano.,img/gioielleria_19.png,1290.0
Morellato,Drops Bracelet,Bracciale charm in acciaio con 3 drops intercambiabili in resina colorata. Sistema a click. Compatibile con 400+ elementi collezione.,img/gioielleria_20.png,79.0
