marca,modello,descrizione,immagine,prezzo
Levi's,501 Original,Jeans dritti iconici in denim rigido 100% cotone. Fit straight classico con bottoni. Lavaggio medio stone-washed. Taglie 28-38.,img/abbigliamento_1.png,89.95
Nike,Air Force 1 '07,Sneaker bassa in pelle con suola in gomma vulcanizzata. Tomaia in pelle premium con Swoosh ricamato. Soletta ammortizzante Air.,img/abbigliamento_2.png,109.95
Patagonia,Better Sweater Fleece,Felpa in pile riciclato con zip intera e tasche frontali. Collo alto morbido. Tessuto fleece a 300g. Certificazione Fair Trade.,img/abbigliamento_3.png,139.0
Stone Island,Maglia a collo alto,Maglia in lana merino extrafine con patch logo ricamato. Collo alto classico. Vestibilità regolare. Colori: Navy Blu Antracite.,img/abbigliamento_4.png,245.0
Adidas,Ultraboost 23,Scarpa da running con intersuola Boost per ammortizzazione massima. Tomaia Primeknit+ adattiva. Suola Continental in gomma.,img/abbigliamento_5.png,179.95
Canada Goose,Expedition Parka,Parka invernale con piuma d'oca 625 fill. Resistente a temperature fino a -30°C. Shell Tri-Durance impermeabile. Coyote fur hood.,img/abbigliamento_6.png,1095.0
Ralph Lauren,Oxford Shirt,Camicia Oxford in cotone spazzolato con logo pony ricamato. Vestibilità Classic Fit. Disponibile in 12 colori. Lavabile in lavatrice.,img/abbigliamento_7.png,89.0
Timberland,6-Inch Premium Boot,Stivale iconico in pelle impermeabile con suola antiscivolo. Isolamento in ThinsulateT. Tomaia con trattamento idrorepellente.,img/abbigliamento_8.png,219.95
Carhartt,WIP Watch Hat,Berretto in acrilico morbido con risvolto. Fit unisex. Patch WIP woven sul fronte. Taglia unica con elasticità. 10 colorazioni.,img/abbigliamento_9.png,35.0
The North Face,Nuptse Jacket,Piumino con piuma 700-fill a baffatura quadrata. Shell in nylon ripstop. Collare alto imbottito. Comprimibile nel taschino.,img/abbigliamento_10.png,279.0
Uniqlo,Heattech Turtleneck,Maglione collo alto in tessuto Heattech Extra Warm che trattiene il calore corporeo. Leggerissimo e morbidissimo. Disponibile in 8 colori.,img/abbigliamento_11.png,39.9
New Balance,990v6,Sneaker Made in USA con tomaia in mesh e scamosciato premium. Intersuola Encap+ABZORB. Heritage running dal 1982. Colorazioni USA.,img/abbigliamento_12.png,199.95
Fjällräven,Kånken Classic,Zaino iconico in tessuto Vinylon F resistente all'acqua e all'usura. Volume 16L. Schienale in schiuma a forma di F. Colori vivaci.,img/abbigliamento_13.png,89.95
Arc'teryx,Atom Hoody,Midlayer sintetico con isolamento Coreloft Compact. Tessuto Tyono shell antivento. Abbinabile come strato intermedio o esterno.,img/abbigliamento_14.png,299.0
Converse,Chuck Taylor All Star 70,Versione vintage del classico Chuck con tomaia rinforzata e suola più spessa. Canvas premium. Stampa anni '70 sulla linguetta.,img/abbigliamento_15.png,89.95
Woolrich,Arctic Parka,Parka premium con piuma 500-fill. Shell Oxford tecnico impermeabile. Cappuccio con bordatura in pelliccia sintetica rimovibile.,img/abbigliamento_16.png,649.0
Lululemon,ABC Slim Pant,Pantaloni in tessuto tecnico Warpstreme con 4-way stretch. Taglio slim con gamba dritta. Idrorepellente. 5 tasche funzionali.,img/abbigliamento_17.png,128.0
Moncler,Maya Jacket,Piumino iconico in nylon ultraleggero con piuma 90/10. Logo patch sul petto. Chiusura zip a due cursori. Polsini in jersey.,img/abbigliamento_18.png,850.0
Salewa,Puez Hybrid Polarlite Hoody,Giacca ibrida con pannelli in fleece Polarlite e shell stretch. Ideale per escursionismo tecnico. Cappuccio compatibile con casco.,img/abbigliamento_19.png,149.95
Bottega Veneta,Padded Cassette Bag,Borsa matelassé in nappa intrecciata a mano con effetto padded. Manico in pelle. Tracolla rimovibile. Chiusura snap magnetica.,img/abbigliamento_20.png,2800.0
